Entity,Code,Year,percentage
Cuba,CUB,2015,5.0
Costa Rica,CRI,2015,5.0
Turkey,TUR,2015,5.0
Kiribati,KIR,2015,5.0
Turkmenistan,TKM,2015,5.0
Egypt,EGY,2015,5.0
Morocco,MAR,2015,5.0
Fiji,FJI,2015,5.0
Gabon,GAB,2015,5.0
Ghana,GHA,2015,5.0
Mexico,MEX,2015,5.0
Mauritius,MUS,2015,5.0
Mali,MLI,2015,5.0
Uzbekistan,UZB,2015,5.0
Malaysia,MYS,2015,5.0
Iran,IRN,2015,5.0
United Arab Emirates,ARE,2015,5.0
Uruguay,URY,2015,5.0
Jordan,JOR,2015,5.0
Kazakhstan,KAZ,2015,5.0
Venezuela,VEN,2015,5.0
Oman,OMN,2015,5.0
Kuwait,KWT,2015,5.0
Chile,CHL,2015,5.0
Algeria,DZA,2015,5.0
Argentina,ARG,2015,5.0
Azerbaijan,AZE,2015,5.0
Barbados,BRB,2015,5.0
South Korea,KOR,2015,5.0
Brazil,BRA,2015,5.0
Brunei,BRN,2015,5.0
Saudi Arabia,SAU,2015,5.0
South Africa,ZAF,2015,5.0
Samoa,WSM,2015,5.0
Tunisia,TUN,2015,5.0
Maldives,MDV,2015,5.2
Gambia,GMB,2015,5.3
Mauritania,MRT,2015,5.6
Armenia,ARM,2015,5.8
Kyrgyzstan,KGZ,2015,6.0
Saint Vincent and the Grenadines,VCT,2015,6.2
Belize,BLZ,2015,6.2
Vanuatu,VUT,2015,6.4
Sao Tome and Principe,STP,2015,6.6
Pacific island small states,,2015,6.985749512000001
Nigeria,NGA,2015,7.0
Georgia,GEO,2015,7.4
Trinidad and Tobago,TTO,2015,7.4
Thailand,THA,2015,7.4
Peru,PER,2015,7.5
Benin,BEN,2015,7.5
Indonesia,IDN,2015,7.6
Nepal,NPL,2015,7.8
Caribbean small states,,2015,7.963988533999999
Suriname,SUR,2015,8.0
Jamaica,JAM,2015,8.1
Colombia,COL,2015,8.8
China,CHN,2015,9.3
Cape Verde,CPV,2015,9.4
Panama,PAN,2015,9.5
Niger,NER,2015,9.5
Cameroon,CMR,2015,9.9
Senegal,SEN,2015,10.0
Paraguay,PRY,2015,10.4
Guyana,GUY,2015,10.6
Ecuador,ECU,2015,10.9
Vietnam,VNM,2015,11.0
Lesotho,LSO,2015,11.2
Solomon Islands,SLB,2015,11.3
Togo,TGO,2015,11.4
Honduras,HND,2015,12.2
Dominican Republic,DOM,2015,12.3
El Salvador,SLV,2015,12.4
Cote d'Ivoire,CIV,2015,13.3
Philippines,PHL,2015,13.5
Angola,AGO,2015,14.2
Myanmar,MMR,2015,14.2
Cambodia,KHM,2015,14.2
India,IND,2015,15.2
Guatemala,GTM,2015,15.6
Djibouti,DJI,2015,15.9
Bolivia,BOL,2015,15.9
Bangladesh,BGD,2015,16.4
Guinea,GIN,2015,16.4
Nicaragua,NIC,2015,16.6
Laos,LAO,2015,18.5
Mongolia,MNG,2015,20.5
Burkina Faso,BFA,2015,20.7
Malawi,MWI,2015,20.7
Guinea-Bissau,GNB,2015,20.7
Kenya,KEN,2015,21.2
Pakistan,PAK,2015,22.0
Sri Lanka,LKA,2015,22.0
Sierra Leone,SLE,2015,22.3
Iraq,IRQ,2015,22.8
Botswana,BWA,2015,24.1
Mozambique,MOZ,2015,25.3
Uganda,UGA,2015,25.5
Yemen,YEM,2015,26.1
Afghanistan,AFG,2015,26.8
Swaziland,SWZ,2015,26.8
Timor,TLS,2015,26.9
Congo,COG,2015,30.5
Rwanda,RWA,2015,31.6
Liberia,LBR,2015,31.9
Ethiopia,ETH,2015,32.0
Tanzania,TZA,2015,32.1
Madagascar,MDG,2015,33.0
Tajikistan,TJK,2015,33.2
Zimbabwe,ZWE,2015,33.4
Chad,TCD,2015,34.4
North Korea,PRK,2015,41.6
Namibia,NAM,2015,42.3
Central African Republic,CAF,2015,47.7
Zambia,ZMB,2015,47.8
Haiti,HTI,2015,53.4
